Timestamp,What is your age?,What is your gender?,What is your occupation?,How often do you exercise?,Where do you usually exercise?,What type of activities do you prefer? (Select all that apply),Have you heard about 1Fit?,Have you ever used 1Fit?,What factors are most important when choosing a fitness place? (Select all that applied),Do you prefer:,How important is variety of workouts for you?,Do you get bored going to the same gym regularly?,Do you enjoy trying new types of workouts?,How important is flexibility (choosing time and place freely)?,Would you like access to multiple gyms with one subscription?,What problems would discourage you from using services like 1Fit? (Select all that apply),"How do you feel about time restrictions (e.g., access only at certain hours)?",How often do you face problems booking classes?,How important is clear communication about service changes?,How do you feel when service rules change without prior notice?,Have you ever felt treated differently at a gym because you were using 1Fit?,"If yes, how did it affect your experience?",How do you evaluate the price of 1Fit?,Would you recommend a service like 1Fit to others?,Would you renew your membership? Are you going to purchase a membership?
10/04/2026 10:04:08,28-35,Female,Other,1–2 times per week,Fitness studio,Yoga/Pilates,Yes,"Yes, currently using","Location, Trainer quality, Cleanliness, Equipment quality, Variety of classes",One regular gym,Very important,Sometimes,Yes,Very important,Yes,Restrictions between bookings,Neutral,Sometimes,Important,Neutral,No,No effect,Reasonable,Yes,Yes
10/04/2026 10:05:35,35+,Female,Other,3–5 times per week,Fitness studio,Yoga/Pilates,Yes,"Yes, currently using","Trainer quality, Cleanliness",Access to multiple gyms,Very important,No,Yes,Very important,Yes,"Fully booked classes, Restrictions between bookings",Neutral,Never,Very important,Very frustrated,No,No effect,Reasonable,Yes,Yes
10/04/2026 10:06:58,35+,Female,Other,Daily,Fitness studio,Yoga/Pilates,Yes,"Yes, currently using","Trainer quality, Cleanliness",Access to multiple gyms,Neutral,No,Yes,Very important,Yes,"Fully booked classes, Restrictions between bookings",Neutral,Never,Very important,Very frustrated,No,No effect,Reasonable,Yes,Yes
10/04/2026 13:30:01,18-22,Female,Employed,,Home,"Yoga/Pilates, Individual sports (boxing, swimming etc.)",Yes,"No, never used","Price, Location, Trainer quality, Cleanliness, Equipment quality, Variety of classes",Access to multiple gyms,Important,Yes,Yes,Very important,Yes,"Restrictions between bookings, High price, Complicated app usage",Negative,Sometimes,Very important,Very frustrated,,,Expensive,Maybe,
10/04/2026 16:52:47,Under 18,Female,Student,Rarely,Home,"Team sports, Individual sports (boxing, swimming etc.)",No,"No, never used","Price, Equipment quality",Access to multiple gyms,Neutral,Sometimes,Yes,Important,Maybe,"High price, Complicated app usage",Negative,Rarely,Neutral,Neutral,,,Reasonable,Maybe,No
10/04/2026 16:54:05,Under 18,Female,Student,Rarely,Home,"Individual sports (boxing, swimming etc.)",No,"No, never used","Location, Trainer quality",One regular gym,Neutral,No,Sometimes,Very important,Maybe,High price,Neutral,Rarely,Important,Slightly frustrated,,,Reasonable,Maybe,No
10/04/2026 16:55:21,Under 18,Female,Student,1–2 times per week,Home,"Team sports, Individual sports (boxing, swimming etc.)",No,"No, never used","Location, Trainer quality, Cleanliness, Equipment quality",One regular gym,Neutral,No,Sometimes,Important,Maybe,Complicated app usage,Negative,Rarely,Important,Slightly frustrated,,,Reasonable,Maybe,Yes
10/04/2026 16:56:45,28-35,Female,Self-employed,1–2 times per week,"Home, Outdoor",Yoga/Pilates,No,"No, never used","Price, Location, Trainer quality, Cleanliness, Equipment quality, Variety of classes",Access to multiple gyms,Important,Sometimes,Sometimes,Important,Yes,"Limited time slots, Fully booked classes, Restrictions between bookings, Limited access to premium gyms, High price, Complicated app usage",Neutral,Rarely,Very important,Neutral,,,Reasonable,Yes,
10/04/2026 22:05:52,35+,Female,Self-employed,3–5 times per week,Fitness studio,"Gym workout, Yoga/Pilates",No,"No, never used",Trainer quality,One regular gym,Important,No,Yes,Important,Yes,Limited time slots,Negative,Rarely,Important,Slightly frustrated,,,Reasonable,Maybe,Yes
10/04/2026 22:08:17,Under 18,Male,Student,Rarely,Home,"Gym workout, Team sports, Individual sports (boxing, swimming etc.)",Yes,"Yes, currently using",Location,One regular gym,Very important,Yes,Yes,Neutral,Yes,"Limited time slots, Limited access to premium gyms, High price",Negative,Sometimes,Not important,Slightly frustrated,No,No effect,Reasonable,Maybe,No
10/04/2026 22:09:45,18-22,Male,"Student, Employed",1–2 times per week,Home,Yoga/Pilates,No,"No, never used","Price, Location, Equipment quality",Access to multiple gyms,Neutral,Yes,Sometimes,Important,Yes,Fully booked classes,Neutral,Never,Very important,Neutral,,,Reasonable,Yes,Yes
10/04/2026 23:57:56,35+,Female,Employed,3–5 times per week,Fitness studio,"Yoga/Pilates, Team sports",Yes,"Yes, currently using","Price, Location, Trainer quality, Cleanliness, Variety of classes",Access to multiple gyms,Important,Yes,Yes,Important,Yes,"Fully booked classes, Restrictions between bookings, Limited access to premium gyms",Negative,Never,Neutral,Very frustrated,No,No effect,Reasonable,Yes,Yes
